Time,mdm2,p53p,p53,siah,atm_p,nbs1_p,arf,bcatenin,Damage,p53pmdm2,p53mdm2,atm,nbs1,arfmdm2,siahbcatenin
0,0,0.02979,1.59967,0.00106,8E-05,2E-05,0.0728,2.18466,10,0,0.9554,0.99992,0.99998,0,0.00349
0.13001300130013,0.098710051572563,0.0297878338525883,1.58887552341518,0.00106064886617271,9.51511428819182E-05,1.91516553079149E-05,0.066301304675349,2.18468280855,9.99999999999995,9.863662275937E-07,0.849478603938619,0.999904848857118,0.999980848344693,0.00659144669426914,0.00348659370778905
0.26002600260026,0.161264920845277,0.0297856860080198,1.56325909762427,0.00106042383194569,0.000110267685910992,2.00092086761229E-05,0.054579437766796,2.18470491275167,9.99999999999989,3.27909530116125E-06,0.771442330323081,0.999889732314089,0.999979990791324,0.0187941744702453,0.00348406097181687
0.39003900390039,0.203101553369049,0.0297840709805168,1.52979157807262,0.00105991234276514,0.000125472512447024,2.1335627648868E-05,0.0443495284227396,2.18472677284435,9.99999999999981,6.21895995035197E-06,0.712060022261728,0.999874527487553,0.999978664372352,0.0299447716318408,0.00348181571621558
0.52005200520052,0.23234763077084,0.0297832885054006,1.49259069036915,0.00105930716613925,0.000140799577121343,2.27979299282508E-05,0.0372850055998061,2.18474853996736,9.99999999999972,9.43456981289188E-06,0.665557171901212,0.999859200422879,0.999977202070072,0.0382678090359656,0.00347966562217435
0.65006500650065,0.25319060373526,0.0297835267455038,1.45418310831258,0.00105867152125598,0.0001562588894502,2.43066400508142E-05,0.0329537277349113,2.1847702637986,9.99999999999961,1.27065785450041E-05,0.62814909894807,0.99984374111055,0.99997569335995,0.0440772122453099,0.0034775476169374
0.78007800780078,0.268007502142783,0.0297849145616882,1.41617629521005,0.00105802615470004,0.000171854029756531,2.58377431949742E-05,0.0304990073541146,2.18479196074891,9.99999999999948,1.58995377776828E-05,0.597246766701158,0.999828145970244,0.999974162256805,0.0481397719174688,0.00347544100125552
0.91009100910091,0.278328297530341,0.0297875458801835,1.37959749422068,0.00105737787273893,0.000187586854163238,2.73848614040251E-05,0.0292160658059076,2.18481363630762,9.99999999999934,1.89289741691199E-05,0.571039724863789,0.999812413145837,0.999972615138596,0.0511016033489232,0.00347333898367209
1.04010401040104,0.285225960700085,0.0297914919508846,1.3450831798326,0.00105672891292273,0.000203458763125326,2.89463607171199E-05,0.0286412029466172,2.18483529238206,9.99999999999917,2.17439141842929E-05,0.548253467040996,0.999796541236875,0.999971053639284,0.0533904562449649,0.00347123933078914
1.17011701170117,0.289480644077085,0.029796808556964,1.31300019361254,0.00105608000308755,0.000219471041213251,3.05218986055339E-05,0.0284969845374532,2.18485692969347,9.99999999999897,2.43162235222956E-05,0.527990838055885,0.999780528958787,0.999969478101395,0.0552620536542181,0.00346914131540114
1.3001300130013,0.29166578682692,0.0298035409051825,1.28353063568195,0.0010554313903857,0.000235624951590105,3.21114647721388E-05,0.0286240303742573,2.18487854858291,9.99999999999875,2.66333251920132E-05,0.509620249268177,0.99976437504841,0.999967888535228,0.0568623609586866,0.00346704468986572
1.43014301430143,0.29220299357068,0.029811727072509,1.2567317116059,0.00105478314820171,0.000251921758212325,3.37151565739041E-05,0.0289315528574673,2.18490014925178,9.9999999999985,2.86931202909548E-05,0.492696808242722,0.999748078241788,0.999966284843427,0.0582735209692708,0.00346494937990371
1.56015601560156,0.291403515881302,0.0298214005185551,1.23257872971399,0.00105413530274173,0.000268362734707451,3.53330898640354E-05,0.029367338436362,2.18492173186104,9.99999999999823,3.05003345805682E-05,0.476905543897313,0.999731637265293,0.999964666910137,0.0595418219572558,0.00346285535830507
1.69016901690169,0.289499201902473,0.0298325918517836,1.210995038738,0.00105348786237563,0.000284949165369589,3.69653899586125E-05,0.0299006203955315,2.18494329655425,9.99999999999791,3.20639767859167E-05,0.462021591178217,0.999715050834631,0.999963034610042,0.0606936778942143,0.0034607626156553
1.82018201820182,0.286665402800469,0.0298453300426774,1.19187254876778,0.00105284082957972,0.000301682345932413,3.86121848695555E-05,0.0305128351022528,2.18496484346706,9.99999999999757,3.33956002656869E-05,0.447882552131284,0.999698317654068,0.999961387815131,0.0617442428682029,0.00345867114842054
1.95019501950195,0.283037742414819,0.0298596432390799,1.17508572048262,0.00105219420519229,0.000318563583770732,4.02736043601863E-05,0.0311925073231697,2.18498637273057,9.99999999999719,3.45081258056231E-05,0.434369261330012,0.999681436416229,0.99995972639564,0.0627021546581249,0.00345658095470194
2.08020802080208,0.278723980306308,0.0298755592860486,1.16050084168428,0.00105154798906415,0.000335594198028976,4.19497797510466E-05,0.0319324360185062,2.185007884472,9.99999999999677,3.5415072619394E-05,0.421392627090681,0.999664405801971,0.999958050220249,0.0635721359520704,0.00345449203358667
2.21022102210221,0.273812565891129,0.029893106051492,1.14798228884172,0.00105090218112811,0.000352775519796378,4.36408432624351E-05,0.0327280218875364,2.18502937881552,9.99999999999631,3.61300487161129E-05,0.40888436757342,0.999647224480204,0.999956359156738,0.0643565311768058,0.0034524043840809
2.34023402340234,0.268378403492277,0.0299123115964947,1.13739638038353,0.00105025678107061,0.00037010889215517,4.53469286599137E-05,0.0335763375940488,2.18505085588213,9.99999999999581,3.66664503362346E-05,0.396790883811518,0.999629891107845,0.99995465307134,0.0650561562839897,0.00345031800543745
2.47024702470247,0.262486719858328,0.029933204241636,1.12861366082031,0.00104961178853427,0.000387595670326714,4.70681709145041E-05,0.0344755676485499,2.1850723157899,9.99999999999527,3.70372908323663E-05,0.385069185020988,0.999612404329674,0.999952931829086,0.0656708091513822,0.00344823289695362
